Tipo,ID,Paso_0,Paso_1,Paso_2,Paso_3,Paso_4,Paso_5,Paso_6,Paso_7,Paso_8,Paso_9,Paso_10,Paso_11,Paso_12,Paso_13,Paso_14,Paso_15,Paso_16,Paso_17,Paso_18,Paso_19
Agente,0,"(3, 5)","(4, 5)","(4, 6)","(3, 7)","(4, 8)","(5, 8)","(5, 7)","(5, 7)","(5, 6)","(5, 6)","(5, 5)","(5, 4)","(5, 3)","(4, 3)","(4, 2)","(3, 2)","(3, 2)","(3, 2)","(4, 2)","(4, 2)"
Agente,1,"(6, 4)","(5, 5)","(4, 6)","(3, 7)","(3, 6)","(4, 6)","(3, 6)","(3, 6)","(3, 5)","(4, 4)","(3, 3)","(2, 2)","(2, 1)","(2, 0)","(3, 0)","(3, 0)","(3, 1)","(2, 1)","(3, 1)","(3, 2)","(2, 2)"
Agente,2,"(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 2)","(0, 2)","(1, 2)","(0, 2)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 0)","(0, 0)","(1, 0)"
Agente,3,"(7, 5)","(7, 5)","(7, 4)","(6, 5)","(5, 6)","(4, 7)","(5, 7)","(5, 8)","(5, 8)","(6, 8)","(6, 8)","(6, 9)","(7, 9)","(8, 9)"

Tipo,Bloque,Celda_0,Celda_1,Celda_2,Celda_3
Agua,0,"(3, 7)","(2, 5)","(2, 6)","(2, 7)"
Agua,1,"(4, 9)","(5, 9)","(4, 7)","(4, 8)"
Agua,2,"(2, 4)","(0, 4)","(1, 5)","(0, 3)","(1, 4)","(2, 3)","(3, 3)","(0, 5)","(1, 3)"
