Tipo,ID,Paso_0,Paso_1,Paso_2,Paso_3,Paso_4,Paso_5,Paso_6,Paso_7,Paso_8,Paso_9,Paso_10,Paso_11,Paso_12,Paso_13,Paso_14,Paso_15,Paso_16,Paso_17
Agente,0,"(2, 5)","(2, 4)","(2, 3)","(3, 2)","(3, 1)","(3, 0)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(5, 3)","(4, 4)","(4, 4)","(3, 4)","(3, 5)","(3, 5)","(4, 5)","(4, 5)"
Agente,1,"(5, 7)","(6, 8)","(7, 9)","(6, 9)","(6, 8)","(6, 7)","(5, 6)","(5, 5)","(5, 6)","(4, 6)","(3, 6)","(3, 6)","(3, 6)","(4, 6)"
Agente,2,"(0, 8)","(0, 9)","(0, 9)","(1, 9)","(2, 9)","(3, 9)","(3, 8)","(3, 9)","(3, 8)","(4, 8)","(3, 8)","(4, 8)","(5, 8)","(5, 7)"
Agente,3,"(9, 7)","(9, 7)","(9, 6)","(9, 6)","(9, 5)","(9, 5)","(9, 6)","(8, 7)","(8, 8)","(8, 7)","(8, 7)","(8, 7)","(9, 7)","(9, 7)"

Tipo,Bloque,Celda_0,Celda_1,Celda_2,Celda_3,Celda_4,Celda_5,Celda_6,Celda_7,Celda_8,Celda_9
Agua,0,"(0, 1)","(1, 2)","(2, 1)","(0, 0)","(1, 1)","(2, 0)","(0, 2)","(2, 2)","(1, 0)","(3, 2)"
