Tipo,ID,Paso_0,Paso_1,Paso_2,Paso_3,Paso_4,Paso_5,Paso_6,Paso_7,Paso_8,Paso_9,Paso_10,Paso_11,Paso_12
Agente,0,"(5, 4)","(5, 3)","(6, 3)","(7, 2)","(8, 2)","(9, 2)","(9, 2)","(9, 1)","(9, 2)","(8, 2)","(8, 1)","(8, 2)","(8, 3)"
Agente,1,"(0, 0)","(0, 0)","(1, 1)","(2, 1)","(3, 1)","(2, 1)","(2, 1)","(2, 1)","(3, 1)","(2, 1)","(2, 1)","(1, 1)","(2, 1)","(1, 2)","(1, 2)","(1, 1)","(1, 0)","(2, 0)"
Agente,2,"(5, 2)","(6, 2)","(5, 2)","(5, 3)","(6, 3)","(7, 3)","(7, 2)","(7, 2)","(7, 3)"
Agente,3,"(5, 8)","(6, 9)","(7, 9)","(8, 9)","(8, 8)","(8, 7)","(9, 8)","(8, 8)","(7, 8)","(7, 8)","(7, 8)","(6, 8)","(6, 8)","(7, 8)"

Tipo,Bloque,Celda_0,Celda_1,Celda_2,Celda_3,Celda_4,Celda_5,Celda_6,Celda_7,Celda_8
Agua,0,"(2, 4)","(3, 4)","(2, 3)","(3, 3)","(2, 6)","(2, 2)","(1, 6)","(2, 5)","(3, 5)"
Agua,1,"(4, 4)","(2, 4)","(3, 3)","(3, 4)"
