Tipo,ID,Paso_0,Paso_1,Paso_2,Paso_3,Paso_4,Paso_5,Paso_6,Paso_7,Paso_8,Paso_9,Paso_10,Paso_11,Paso_12,Paso_13
Agente,0,"(1, 5)","(0, 6)","(0, 7)","(0, 6)","(1, 6)","(1, 5)","(2, 4)","(1, 3)","(0, 2)","(1, 2)","(2, 2)","(2, 1)","(1, 1)","(2, 2)"
Agente,1,"(3, 8)","(2, 8)","(1, 8)","(1, 7)","(0, 7)","(0, 6)","(0, 7)","(0, 8)","(0, 9)"
Agente,2,"(5, 2)","(4, 2)","(3, 2)","(3, 1)","(4, 1)","(3, 2)","(3, 3)","(4, 3)","(4, 3)","(5, 3)","(5, 2)","(5, 1)","(5, 2)","(6, 3)","(7, 4)","(6, 4)","(6, 5)","(6, 4)","(6, 4)","(6, 5)","(6, 4)","(6, 3)","(7, 2)","(7, 1)","(7, 2)","(7, 3)","(8, 3)","(9, 3)","(9, 4)","(9, 4)","(9, 3)"
Agente,3,"(9, 6)","(9, 6)","(9, 6)","(9, 7)","(9, 7)","(8, 7)","(7, 6)","(6, 5)","(5, 6)","(4, 7)","(3, 7)","(2, 7)","(1, 7)","(1, 7)","(0, 7)","(0, 7)","(0, 7)","(0, 8)","(0, 7)","(0, 7)","(0, 7)","(0, 7)"

Tipo,Bloque,Celda_0,Celda_1,Celda_2,Celda_3,Celda_4,Celda_5
Agua,0,"(7, 7)","(5, 7)","(6, 7)","(7, 6)","(5, 6)","(6, 6)"
Agua,1,"(7, 4)","(8, 4)","(9, 5)","(7, 6)","(7, 5)","(8, 5)"
